user,first_thread_count
502takara323bako831,0
daiju.haga-1521042,1
djmmanganip,0
fonsgov,0
hisatsugu_1521038,2
ishikawa,2
kaiseiaoki,5
kimura_fuuga,0
ko-hei,10
kumada,0
kurihara,1
leeke,0
matsumoto,0
matsuoka,0
miyashita,0
naito,0
oosawa,0
otaki,0
s1421163,0
s1521046,0
s1521078,0
s1521166,0
s1521178,0
s1621049,1
s1621071,0
s1621086,0
s1621093,0
s1621155,0
s1721059,0
satotoshiki,0
sebastian,0
shibamoto,6
shigetatomoki,1
shimizu,0
shohei516,0
soccer.barca2423,0
syun070822,6
t.kasai,7
takahashim,1
takahashiy,0
takano,59
terada,0
toshiya_iiba,0
tsukiji,14
umetani,0
urano_ryoya,1
yuta,0
