user,order_count,total_count,rate
502takara323bako831,0,2,0.0
daiju.haga-1521042,0,86,0.0
djmmanganip,0,2,0.0
fonsgov,0,2,0.0
hisatsugu_1521038,0,86,0.0
ishikawa,2,478,0.0041841004184100415
kaiseiaoki,4,217,0.018433179723502304
ko-hei,17,1028,0.016536964980544747
kurihara,0,52,0.0
matsuoka,1,16,0.0625
s1421163,1,23,0.043478260869565216
s1521046,0,2,0.0
s1521166,0,4,0.0
s1621049,0,17,0.0
s1621071,0,9,0.0
s1621086,0,4,0.0
s1621093,0,9,0.0
s1621155,0,4,0.0
s1721059,0,6,0.0
satotoshiki,0,11,0.0
shibamoto,0,268,0.0
shigetatomoki,1,166,0.006024096385542169
shohei516,1,42,0.023809523809523808
soccer.barca2423,0,2,0.0
syun070822,7,441,0.015873015873015872
t.kasai,2,564,0.0035460992907801418
takahashiy,4,128,0.03125
takano,12,2488,0.00482315112540193
tsukiji,4,979,0.0040858018386108275
umetani,1,54,0.018518518518518517
urano_ryoya,2,72,0.027777777777777776
yuta,0,9,0.0
